ID,Name,Slug,Start Date,Primary Languages,Workload,Is Part of Specialization
NJSdGN71Eeq4CApSN3OTvQ,Make Your Pick-Ups Look Cool in Unity (Intro to Animation 1),make-pick-ups-look-cool-unity-introduction-animation-1,1598035773172,en,2 hours,False
DMkcgX7LEeyRTg6FtAvfBw,Intégrer des applications dans votre Dashboard Hootsuite,integrer-applications-dashboard-hootsuite,1644614698077,fr,2 heures,False
YLO0oGSUEeyIUg4Qv2RsBQ,كيفية استعمال التطبيق هووتسويت,getting-started-with-hootsuite-ar,1642193091376,ar,2 hours,False
69Bku0KoEeWZtA4u62x6lQ,Gamification,gamification,1447095621493,en,4-8 hours/week,False
0HiU7Oe4EeWTAQ4yevf_oQ,Dealing With Missing Data,missing-data,1471901099812,en,"4 weeks of study, 1-2 hours/week",False
sI_-QEBiEemtDRLx7Ne8jg,Unordered Data Structures,cs-fundamentals-3,1556553708843,en,,False
2WtDgaCrEeyFDhLpwtOZqw,Installation et configuration du pack d'extension C-C++ avec Visual Studio Code,installation-et-configuration-du-pack-d-extension-c-c-avec-visual-studio-code,1649871770867,fr,2 heures,False
rrZX06kxEeyjPxJkzIUqCw,Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,googlecloud-migrating-to-cloud-sql-from-amazon-rds-for-mysql-using-databas-lyazm,1648688301752,en,1.5 hours,False
5zjIsJq-EeW_wArffOXkOw,Vital Signs: Understanding What the Body Is Telling Us,vital-signs,1456817703360,en,3-5 hours/week,False
WFanvtoSEeedbRLwgi9a7A,FinTech Disruptive Innovation: Implications for Society,fintech-disruption,1543219426901,en,"Around 4 hours of videos in total, plus a final project requiring about 5 hours to complete.",False
zjIfbv3pEeqRMRJTGi3b6Q, Cluster Analysis using RCmdr,cluster-analysis-rcmdr,1601055478420,en,one hour,False
k-WxP98PEeypqArgW5gGjw,Analyze Network Traffic with TCPDump,analyze-network-traffic-with-tcpdump,1654190236288,en,1.5 hours,False
v9CQdBkhEeWjrA6seF25aw,Modern Art & Ideas,modern-art-ideas,1439923333939,en,"5 weeks of study, 2 hours per week",False
QgmoVdT2EeSlhSIACx2EBw,The Evolving Universe,evolvinguniverse,1431661792194,en,,False
whkxBTMWEeuZBg7FYEje4Q,Create an interactive story game with Twine,create-an-interactive-story-game-with-twine,1606762508935,en,2 hours,False
zRhFMLBVEeqP6QqV6TddSw,Use SurveyMonkey to Create a Survey and Analyze Results,create-survey-analyze-results-with-surveymonkey,1593472923247,en,2 hours,False
LuXbfNnCEeq3nQoreMGNOQ,Performing Data Aggregation using SQL Aggregate Functions,performing-data-aggregation-using-sql-aggregate-functions,1597188408088,en,2 hours,False
HlPk_SAVEe2Psg5YTxx2NQ,Advanced Android Development,advanced-android-development,1660952669683,en,,False
Q7g64XUHEeuBTg7vUdMe9w,Оценка облигаций,bonds-fixed-income-mathematics-ru,1614361331044,ru,2 часа,False
YnC4qHR6Ee2hYgoC8bKiUw,Machine Learning in the Enterprise - Français,machine-learning-in-enterprise-fr,1672787434061,en,"3 weeks of study, 5-7 hours per week",False
WWXTH4D5Eeyg9hKH5WRuwQ, Microsoft Excel إنشاء جدول اجتماع باستخدام ,microsoft-excel-iinsha-jadwal-ajtimae-biastikhdam,1653584471179,ar,2 hours,False
lDHhgquQEey44Q4AsVOVkw,Consulting Presentations and Storytelling,management-consulting-presentations,1657900938437,en,,False
7zPEd7ErEeyiqQr1qP1QDw,إختيار الهدف المثالي للحملات الإعلانية على Facebook,iikhtiar-alhadaf-almithalii-lilhamalat-aliielaniat-ealaa-facebook,1651244238336,ar,1 hour,False
FlptMGk3EeSiViIACw8GlA,Design: Creation of Artifacts in Society,design,1474842588486,en,,False
B6LZjKkwEeyjPxJkzIUqCw,Debugging Apps on Google Kubernetes Engine,googlecloud-debugging-apps-on-google-kubernetes-engine-8pzmb,1648672152625,en,1 hour 15 minutes,False
5sELsjzeEey2HhKRvGWgpQ,Cómo empezar con Facebook Commerce Manager,facebook-commerce,1636663047739,es,2 horas,False
ApW7zt2xEey3pBLtifjkow,Create React Forms Using Hooks,create-react-forms-using-hooks,1653928214838,en,2 hours,False
3uRPpdGFEeiElA6q2-9yxA,Researcher Management and Leadership Training,researcher-management-leadership-training,1586933748650,en,"5 weeks of study, about 3 hours/week, with several optional resources for your interest.",False
j-zL7CvgEemV_A4t3mTtWg,Introduction to Enterprise Computing,introduction-enterprise-computing,1567546841484,en,"3 weeks of study,  2-3 hours/week",False
xpDmwnYyEeyrDAqvINCGXQ,الأخلاقيات والثقافة ووجهات النظر العالمية,ethics-culture-and-global-perspectives-ar,1643605474428,ar,,False
728RVtH8EeyBrQ7e8kzA9w,Crea diseños de marca para tu pequeña empresa con Canva,crea-disenos-marca-pequena-empresa-canva,1652898954668,es,2 horas,False
DX6sNLStEeyQSBIjGmLcFQ,Building No-Code Apps with AppSheet: Implementation,building-no-code-apps-with-appsheet-implementation,1650566814240,en,"3 weeks of study, 3-4 hours/week.",False
rAlpSmWgEeenbhIEmtW1dA,"Modern Robotics, Course 1:  Foundations of Robot Motion",modernrobotics-course1,1523803223263,en,This course requires 4 weeks of study of approximately 3-5 hours/week.,False
cnH04NsNEeqZLA7SXwAABQ,Blockchain Evolution and Technology Concepts,blockchain-evolution-and-technology-concepts,1601930082606,en,,False
3F4Us6YgEeyjPxJkzIUqCw,University Studies for Student Veterans,university-studies-for-student-veterans,1678977098121,en,"12 weeks of study, 2-3 hours per week",False
5uXCfFu2EeSU0SIACxCMgg,Bioinformatic Methods I,bioinformatics-methods-1,1421096015614,en,12-18 hours videos and labs,False
hwvdsk86Eem0lhKc4vCNig,Social Network Analysis,social-network-analysis,1576005639598,en,"5 weeks of study, 2-5 hours/week",False
5YCz7-zMEeeMzQrhp6Bs1g,Computer Vision Basics,computer-vision-basics,1555339207762,en,,False
RdmZEakyEeyjPxJkzIUqCw,Protecting Endpoints with reCAPTCHA Enterprise,googlecloud-protecting-endpoints-with-recaptcha-enterprise-vn795,1648673032884,en,1 hour,False
h9nm7aF2EeyZ1AqPZNr0NQ,Create a Cover Letter with an Envelope using Microsoft Word,create-a-cover-letter-with-an-envelope-using-microsoft-word,1649370837270,en,2 hours,False
rajsT7UJEeWl_hJObLDVwQ,剪辑：像编剧一样剪辑,jian-ji,1459465663004,zh,"5 周课程, 2-4 小时/周",False
GgaxdGEfEe2obAqRvlwFGQ,التحكم في الإصدار,introduction-to-version-control-ar,1679599313404,ar,,False
aKgfVs3CEeu0KQ5V9fFcUQ,Research Methodologies,research-methodologies,1652458144107,en,20 hours (4 hours per week)  ,False
lfKT5sS3EeWhPQ55lNYVVQ,From Climate Science to Action,climate-science,1462810844656,en,,False
fd3ZQRthEeqQJw6Wlm3hnw,Analyze Box Office Data with Seaborn and Python,analyze-data-seaborn-python,1582082440897,en,2 hours,False
lo08qFSsEe2HYQ674WURew,Material Jetting and Stereolithography,material-jetting-and-stereolithography,1680566991348,en,,False
NqCadZgsEeu10Ao71wup4w,Teaching LGBTQ+ Health,teaching-lgbtq-health,1673048940132,en,"1 week study, 2 hours",False
YGjPHOZYEeWGngqV7V698w,史記 (Shi Ji),shiji,1485109953921,zh,,False
PyySc330Eeuq6Aq4OpJMyw,Fundamentos del Management,fundamentos-del-management,1621456404130,es,3 horas por semana.,False
KlAJ6oysEeW79RIwiAyGoQ,Successful Presentation,presentation-skills,1479255226761,en,"4  weeks of study, 2 hours/week",False
